gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,Ticker,Company Name,curcdq,datacqtr,datafqtr,Capitalized Software,Cash,Common Share Outstanding,Invested Capital - Total - Quarterly,Intangible Assets - Total,Net Income (Loss),Revenue - Total,Research and Development Expense,exchg,costat,Market Value - Total,Price Close - Quarter,GIC Sub-Industries
65899,9/30/2021,2021,3,12,INDL,C,D,STD,RNWK,REALNETWORKS INC,USD,2021Q3,2021Q3,,28.99,47.115,53.664,17.073,-7.668,14.332,5.25,14,A,74.9129,1.59,45103010
65986,2/28/2019,2018,4,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2019Q1,2018Q4,,548,547.358,3301,2531,51,255,52,11,A,4762.0146,8.7,45103020
65986,5/31/2019,2019,1,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2019Q2,2019Q1,,358,547.922,3388,2485,-35,247,71,11,A,4301.1877,7.85,45103020
65986,8/31/2019,2019,2,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2019Q3,2019Q2,,460,548.336,3325,2454,-44,244,62,11,A,3767.0683,6.87,45103020
65986,11/30/2019,2019,3,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2019Q4,2019Q3,,515,552.132,2675,2414,-32,267,66,11,A,3075.3752,5.57,45103020
65986,2/29/2020,2019,4,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2020Q1,2019Q4,,377,554.199,2649,2352,-41,282,60,11,A,2865.2088,5.17,45103020
65986,5/31/2020,2020,1,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2020Q2,2020Q1,,312,555.623,2024,1721,-636,206,57,11,A,2578.0907,4.64,45103020
65986,8/31/2020,2020,2,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2020Q3,2020Q2,,837,556.468,2020,1689,-23,259,57,11,A,2904.763,5.22,45103020
65986,11/30/2020,2020,3,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2020Q4,2020Q3,,223,562.016,2361,1652,-130,218,53,11,A,3299.0339,5.87,45103020
65986,2/28/2021,2020,4,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2021Q1,2020Q4,,214,565.505,2314,1620,-315,210,48,11,A,5683.3253,10.05,45103020
65986,5/31/2021,2021,1,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2021Q2,2021Q1,,339,566.248,2256,1582,-62,174,57,11,A,5702.1174,10.07,45103020
65986,8/31/2021,2021,2,2,INDL,C,D,STD,BB,BLACKBERRY LTD,USD,2021Q3,2021Q2,,291,566.995,2179,1543,-144,175,58,11,A,6469.413,11.41,45103020
66326,1/31/2019,2018,4,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2018Q4,2018Q4,,27.298,76.865,558.971,554.37,7.892,71.03,12.164,14,A,2387.4269,31.06,45103010
66326,4/30/2019,2019,1,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2019Q1,2019Q1,,29.55,77.223,799.094,764.581,7.32,78.004,12.728,14,A,3087.3755,39.98,45103010
66326,7/31/2019,2019,2,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2019Q2,2019Q2,,27.362,84.126,828.738,800.648,8.573,80.54,13.358,14,A,3053.7738,36.3,45103010
66326,10/31/2019,2019,3,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2019Q3,2019Q3,,28.848,84.152,827.771,794.641,9.666,83.026,13.383,14,A,3274.3543,38.91,45103010
66326,1/31/2020,2019,4,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2019Q4,2019Q4,,44.403,84.156,831.186,780.646,11.438,84.221,14.044,14,A,3771.0304,44.81,45103010
66326,4/30/2020,2020,1,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2020Q1,2020Q1,,55.976,84.157,835.786,778.16,11.047,83.703,13.579,14,A,3541.3266,42.08,45103010
66326,7/31/2020,2020,2,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2020Q2,2020Q2,,81.862,84.474,865.495,789.852,10.542,84.045,13.076,14,A,4758.4204,56.33,45103010
66326,10/31/2020,2020,3,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2020Q3,2020Q3,,114.416,84.484,879.899,775.5,13.308,87.508,13.072,14,A,4541.8598,53.76,45103010
66326,1/31/2021,2020,4,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2020Q4,2020Q4,,133.661,84.495,919.963,805.169,17.203,93.408,14.339,14,A,5159.2647,61.06,45103010
66326,4/30/2021,2021,1,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2021Q1,2021Q1,,138.137,84.514,951.582,837.211,18.421,98.838,15.219,14,A,5413.9668,64.06,45103010
66326,7/31/2021,2021,2,1,INDL,C,D,STD,DSGX,DESCARTES SYSTEMS GROUP INC,USD,2021Q2,2021Q2,,128.358,84.626,970.646,880.912,23.176,104.57,15.473,14,A,6148.9252,72.66,45103010
66368,3/31/2019,2019,1,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2019Q1,2019Q1,,779.625,119.391,384.479,52.527,162.527,306.408,16.132,14,A,21676.63,181.56,45102030
66368,6/30/2019,2019,2,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2019Q2,2019Q2,,751.58,118.548,366.382,52.527,147.534,306.289,14.953,14,A,24795.4997,209.16,45102030
66368,9/30/2019,2019,3,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2019Q3,2019Q3,,109.288,117.705,340.353,52.527,153.913,308.421,14.619,14,A,22202.6942,188.63,45102030
66368,12/31/2019,2019,4,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2019Q4,2019Q4,,508.196,116.715,302.029,52.527,148.325,310.543,15.101,14,A,22488.6462,192.68,45102030
66368,3/31/2020,2020,1,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2020Q1,2020Q1,,498.693,115.701,383.301,52.527,334.116,312.524,17.358,14,A,20836.5931,180.09,45102030
66368,6/30/2020,2020,2,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2020Q2,2020Q2,,306.701,115.011,393.255,52.527,152.479,314.365,18.202,14,A,23787.7251,206.83,45102030
66368,9/30/2020,2020,3,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2020Q3,2020Q3,,145.701,114.262,408.221,52.527,170.979,317.879,19.708,14,A,23406.5707,204.85,45102030
66368,12/31/2020,2020,4,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2020Q4,2020Q4,,401.194,113.47,405.044,52.527,157.314,320.284,19.403,14,A,24554.908,216.4,45102030
66368,3/31/2021,2021,1,12,INDL,C,D,STD,VRSN,VERISIGN INC,USD,2021Q1,2021Q1,,246.811,112.766,386.952,52.527,150.354,323.621,20.311,14,A,22413.3702,198.76,45102030
